keyword,count
Fully Convolutional Networks,1
DeepWaterMap,1
Coastwide Reference Monitoring System,1
Camera Lidar Sensor Fusion,1
Gated Information Fusion,1
Robust Learning,1
Voice service,1
MobileNet,1
Alexa,1
Data Mining,1
Crime Prevention,1
Cognitive Radar,1
radar resource management,1
radar signal processing,1
케라스,1
의료초음파,1
CNN (Convolutional Neural Network),1
간이미지,1
Diagnosis,1
depth prediction,1
dynamic context understanding,1
visual odometry,1
Crowdfunding,1
Kickstarter,1
Success Prediction,1
GMAW,1
Spectrogram,1
Fast Fourier Transform,1
Interactive Future Prediction(상호적미래예측),1
Convolutional Neural Network(컨볼루션신경망),1
Long Short-Term Memory Network(장단기메모리네트워크),1
Cabbage,1
Weeding,1
Chinese Character Detection,1
Single Shot Multibox Detector,1
Welding robot,1
Condition Diagnosis,1
loitering,1
서로 이야기 나누기,1
공감,1
수업이 주인 됨,1
힘을 얻음,1
Frontier Development Lab,1
Image translation,1
Image enhancement,1
Cycle consistency,1
Ground Penetrating Radar,1
Image arrangement,1
슈퍼픽셀,1
실내 공간 인식,1
Super-pixel,1
Indoor-space recognition,1
Obstacle Detection(장애물 검출),1
CNN(회귀 신경망),1
Lane Detection(차선 검출),1
Collision Warning (충돌경고),1
목소리,1
Eighth grade social studies class,1
Chatter,1
Empowered,1
Vibration,1
Deep Convolutional Generative Adversarial Network,1
Human-computer interaction,1
Drug recognition,1
Braille embosser,1
small object detection,1
region proposal network,1
Communication,1
Low Energy Wireless Communication,1
Interpretable AI,1
Industrial AI,1
fully convolutional neural network,1
deconvolution decoder,1
convolution fusion,1
Blending Narrative Storytelling,1
Deep Empathy,1
Ownership of Class,1
condition mismatch,1
dialogue system,1
speech enhancement,1
Eye and Lip Detection,1
이미지 인식,1
깊이영상,1
시차 영상,1
Depth Map,1
Stereo Image,1
고속 R-CNN,1
눈 및 입술영역 검출,1
영상인식,1
faster R-CNN,1
Climate Control (공조 제어),1
자기장,1
FATC (자동온도조절장치),1
Climate Preference (공조 선호도),1
Machine Learning (기계 학습),1
Frequency based machine learning (빈도 기반 기계 학습),1
Music Composition,1
AI-based Composition,1
작곡,1
인공지능 작곡,1
화재 탐지,1
계층 구조,1
실내 위치인식,1
온열환경,1
Human Pose Estimation,1
MLP(Multi Layer Perceptron)(다층퍼셉트론),1
Dynamic Adaptive Streaming over HTTP(DASH),1
Deep QNetwork(DQN),1
Video Streaming,1
영상 감시,1
객체 탐지,1
키포인트 탐지,1
인간 자세 추정,1
Keypoint Detection,1
세계사,1
geomagnetic field,1
역사 교육과정,1
학습요소,1
계열성,1
History Education,1
World History,1
National History Curriculum,1
Learning Component,1
Sequence,1
indoor localization,1
Feature Extraction,1
활동량,1
CNN(Convolutional Neural Network)(컨벌루션 신경망),1
바리공주,1
singularity,1
생성적 적대 신경망,1
함정전투체계,1
초고해상도 영상 복원,1
Naval combat system,1
SISR,1
프로젝트 학습법,1
학습자 중심,1
심층문화,1
Project-based learning,1
philosopher king,1
Learner-centered,1
Korean culture education,1
Deep Culture,1
Barigongju(Princess Bari),1
대학 신입생,1
대학생활적응 교과목,1
학습동기 전략,1
freshmen,1
college adaptation course,1
Platon,1
ANN,1
딥러닝 신경망,1
Haze,1
Thermal Environment,1
Metabolic rate,1
Deep Learning Neural Network,1
원격탐사,1
산불피해지,1
remote sensing,1
fire-burned area,1
Rain,1
Fog,1
Synthesis,1
플라톤,1
Road,1
Honeybee interaction behavior,1
Behavioral pattern,1
Finite state machine (FSM),1
뇌종양,1
MRI,1
합성곱신경망,1
Brain tumor,1
철인 통치자,1
Deep network(깊은 신경망),1
Emotion Analysis,1
L2 regularization,1
smart water management,1
Fault detection,1
CNN-LSTM,1
Deep learning.,1
앙상블 학습법,1
Ensemble Learning,1
컨볼루션 신경망 구조,1
thermography,1
water leak detection,1
deep convolution neural network,1
Manufacturing,1
KOMPSAT-5,1
Deep Learning Application,1
Unsupervised Learning.,1
Leaf Image Recognition,1
Leaf Image Classification,1
Fish species identification,1
3D Spatial information,1
Occlusion area,1
3차원 공간정보,1
폐색영역,1
Satellite Image Processing,1
Convolution Neural Network (CNN),1
Fake Face,1
support matrix machine,1
software testing,1
fuzzing,1
vulnerability,1
VAE(Variational Autoencoder),1
Palmprint Identification,1
VGGNet,1
voice,1
지지벡터기계,1
지지행렬기계,1
Asphalt pavement,1
Smart home,1
Climate,1
Autonomous car(무인자동차),1
Image Processing(영상처리),1
Blind Spot Area(사각  지대),1
Beacon,1
Data Leakage Prevention,1
BYOD,1
Refrigerator,1
Smart system,1
가짜 얼굴,1
Medical research.,1
AI Simulator,1
변분순환오토인코더,1
CT Image,1
Deep Learing,1
Morphology Operation,1
Histogram Stretching,1
뇌 지주막하 출혈,1
CT 영상,1
모폴로지 연산,1
히스토그램 스트레칭,1
생성모델,1
한국어 문장 생성,1
MCN(Multi Channel Network) Platform,1
보간법,1
generative models,1
variational recurrent auto-encoder,1
Korean sentence generation,1
interpolation,1
Packing,1
Malware classification,1
Section name,1
7-poker,1
Brain Subarachnoid Hemorrhage,1
Sticker,1
Urban railway station,1
Real-time Monitoring,1
Load pattern,1
Recursive neural networks,1
비디오 분류,1
유사도 측정,1
표현 학습,1
Video Classification,1
Similarity Measure,1
Representation Learning,1
Worker‘s Safety Management,1
Data collection,1
Facial Emotion Recognition,1
스마트러닝,1
ARCS 동기전략 모형,1
이-러닝,1
Smart Learning,1
e-Learning,1
얼굴감정인식,1
스티커,1
증강현실,1
다중채널네트워크 플랫폼,1
learning motivation,1
Real-time,1
Unsupervised,1
puncturing scheme,1
교육적 효과,1
교과목 난이도,1
learner-generated questions,1
question writing,1
educational effects,1
course difficulty,1
channel coding,1
polar codes,1
deep neural network(DNN),1
Feature bank,1
학습자 질문,1
Semantic Segmentation(영상 분할),1
Long Short Term Memory(장단기 메모리),1
Recurrent Neural Network(인공 순환신경망),1
Driver Behavior Monitoring(운전자 행동 관찰),1
Steering Prediction(조향 예측),1
Time Sequential Data(시간 순서 데이터),1
topology optimization,1
과시적 소비,1
추가적 혜택,1
질문 작성,1
Contents Analysis,1
소득불평등,1
일대일로,1
인공지능 게임,1
visual question answering,1
artificial intelligence game,1
education paradigm,1
Intelligent Computer Aided Instruction,1
교육 패러다임,1
인공지능 컴퓨터 보조학습,1
한국,1
외국어로서의 중국어 교육,1
Korea,1
Challenge Activities,1
Chinese as a Foreign Language problem countermeasure,1
One-belt and one-road,1
체육교과서,1
씨름,1
도전 영역,1
개정 교육과정,1
교과서 분석,1
Physical Education Textbooks,1
Ssireum,1
인민적 시책,1
계급,1
Furnace systems,1
Skiing Robot,1
정보 검색,1
스케치 검색,1
패션 기술,1
Infrared camera,1
Image Specification,1
열적외선 카메라,1
이미지 명세화,1
객체검출,1
DetectNet,1
Gate,1
Sketch Retrieval,1
StixelNet,1
Free Space Detection(주행가능영역검출),1
Object Detection(객체검출),1
Autonomous Vehicle(자율주행차량),1
difference image,1
abandoned object recognition,1
background estimation,1
Noise-aware Training,1
identity-vector,1
Fashion Technique,1
Information Retrieval,1
Auto Encoder,1
Range-only measurements,1
K-means,1
Dimension Reduction,1
Deep Clustering Networks,1
Traffic Signal(신호등),1
Convolution Neural Network(합성곱 신경망),1
Crossroad(교차로),1
KODAS,1
Resnet,1
Weighted mapping,1
Mobile robot,1
Activation Function,1
Neural Networks(신경망),1
Gasoline Engine(가솔린엔진),1
Fuel Efficiency(연비),1
Emission(배기),1
Deep Learning(삼층 학습),1
AVM(Around View Monitoring),1
Parking Line Departure Warning(주차선 이탈경고),1
radio propagation,1
room shape prediction,1
이미지 질의 응답,1
대화 시스템,1
Deep Learning(심층 학습),1
Power Demand Forecasting,1
Automatic non-nodule categorization,1
전력 수요 예측,1
양방향 장단기 기억 네트워크,1
Electronic Demand Prediction,1
Recurrent Neural Network,1
Bidirectional Long Short Term Memory Networks,1
전력수요 예측,1
전력부하 첨두치 예측,1
심층 신경회로망,1
Electric Peak Load Prediction,1
Pulmonary nodule detection,1
수직형 터널,1
3D model,1
자동화 손상 진단,1
수직형 스캐닝 시스템,1
능동 소나,1
하이라이트 모델,1
심층 신뢰망,1
Fractional 푸리에 변환,1
Active Sonar,1
False positive reduction,1
Computer-aided detection,1
Geodesic Sphere(지오데식 구),1
Symmetry axis,1
HTM,1
스마트팩토리,1
Smart Factory,1
Face detection,1
Age estimation,1
Inception module,1
Persimmon,1
Peeling,1
Center points,1
openCV,1
Deep learning(심층 학습),1
MR generation,1
PET quantification,1
florbetapir PET,1
심화 강화학습,1
멀티-에이전트,1
deep reinforcement,1
multi-agent,1
Real-time driving scene understanding(실시간 주행 환경 인식),1
Multi-object detection(다중 객체 검출),1
Highlight model,1
Fractional fourier transform,1
자연재해,1
비고스키,1
영상 분류,1
Batch Normalization,1
학령인구 감소,1
학생 유지율,1
연관관계,1
School Age Population Decline,1
Student Retention Rate,1
Association Rule,1
창의력,1
사회문화적 이론,1
농산물,1
근접발달지대,1
창의성 교육,1
sociocultural theory,1
Vygotsky,1
zone of proximal development,1
creative learning,1
Modified Spherical Signature Descriptor(수정 구형특징 표현기),1
Convolutional Neural Network(컨볼루션신망망),1
3D Point Cloud(3차원 점군),1
배치 정규화,1
stacked pointer networks,1
coreference resolution,1
pointer networks,1
가격,1
RMSE,1
날씨,1
Natural Disaster,1
Agricultural Product,1
Price,1
Weather,1
인공지능시각미술창작물심미성,1
AI Visual art Creation Aesthetic impression,1
피드포워드 뉴럴 네트워크,1
가우시안 믹스쳐 모델,1
Feedforward Neural Network,1
포지션 인코딩,1
동적 포지션 인코딩,1
포인터 네트워크,1
상호참조해결,1
스택,1
position encoding,1
dynamic position encoding,1
Self-driving car(자율주행차),1
Facial skin lesion,1
Virtual reality(가상현실),1
Practical Examination,1
ADAS,1
드론,1
치안드론,1
항공안전법,1
실기시험,1
드론사고조사관,1
Drone,1
Police Drones,1
Aviation Safety Law,1
Drone Accident Investigator,1
재침례교도,1
Indoor Network,1
Indoor Spatial Information,1
Evacuation Map,1
Indoor Network Attribute,1
Conditional Generative Adversarial Network (cGAN),1
실내 네트워크,1
실내 공간정보,1
대피안내도,1
실내 네트워크 속성정보,1
Lane Marker Detection,1
아미쉬 공동체와 교육,1
soundscape,1
FFT,1
ecology,1
대칭적 인류학,1
사운드스케이프,1
기술과 예술,1
생태학,1
인공 신경망,1
스마트 수도미터,1
AMI 시스템,1
acoustics,1
CNNs,1
지식,1
Dewey,1
Palmer,1
the origins of knowledge,1
Amish community and their education,1
Anabaptists,1
reality and community,1
듀이,1
팔머,1
실재와 공동체,1
조건부 생성적 적대 신경망,1
루이스 부르주아(Louise Bourgeois),1
앙리 베르그송(Henri Bergson),1
Sentient beings,1
Convolutional Neural Network(합성곱신경망),1
Smart car,1
RGB-Depth-Thermal camera,1
OpenPose,1
Occupant detection system,1
有情,1
無情,1
根,1
감각기관,1
Insentient beings,1
기억(Memory),1
Indriya,1
Sense organs,1
Polyp,1
용종,1
Adenomacarcinoma,1
Convolution,1
선암,1
합성곱,1
신경망,1
Phase Resolved Pulse Sequence(PRPS),1
Ultra High Frequency(초고주파),1
Partial Discharge(부분방전),1
Gas Insulated Switchgear(가스절연개폐장치),1
순수기억(Pure Memory),1
기억의 재현(Reproducibility of Memory),1
성인,1
시뮬레이션,1
현상학,1
질적연구,1
Adult Nursing students,1
simulation,1
Phenomenology,1
Qualitative,1
study,1
Aerobics,1
Life History of Lee Young-suk,1
Lee,1
Educational Contribution,1
Image source identification,1
sensor pattern noise,1
random subspace method,1
sample selection,1
technology and arts,1
symmetrical anthropology,1
Training data(학습 데이터),1
